"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL162730";"";"None";"482.56";"0";"1.97";"1s";"O=C(Cc1ccc2[nH]ncc2c1)CN1CCCC[C@H](NS(=O)(=O)c2ccc3c(c2)CCO3)C1=O";"Ki";"";"";"nM";"";"";"Not Active";"UO_0000065";"";"";"";"";"0";"CHEMBL817821";"Inhibitory constant against trypsin determined in Vitro; Inact. means Inactive";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Trypsin I";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135220";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2002";"None";"";"";""
"CHEMBL148986";"";"None";"165.19";"0";"0.93";"8 (table 3)";"COC(=O)c1ccc(CN)cc1";"Ki";"'='";"434510224.17";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL858270";"Inhibition of trypsin";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Trypsin I";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1132536";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";""
"CHEMBL351306";"";"None";"509.63";"1";"0.93";"1m";"COc1ccc(OC)c(S(=O)(=O)N[C@H]2CCCCN(CC(=O)CC3CCN(C(=N)N)CC3)C2=O)c1";"Ki";"";"";"nM";"";"";"Not Active";"UO_0000065";"";"";"";"";"0";"CHEMBL817821";"Inhibitory constant against trypsin determined in Vitro; Inact. means Inactive";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Trypsin I";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135220";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2002";"None";"";"";""
"CHEMBL327403";"";"None";"649.65";"1";"3.21";"46";"CCCOCC1(C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)CC(c2cccc(C(=N)N)c2)=NO1.O=C(O)C(F)(F)F";"Ki";"'='";"90.0";"nM";"7.05";"";"";"UO_0000065";"13.15";"0.25";"3.84";"4.15";"0";"CHEMBL824706";"Binding affinity towards trypsin obtained from human purified enzymes";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Trypsin I";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1132652";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";""
"CHEMBL436591";"";"None";"564.77";"2";"5.94";"15";"CCCC(=O)NC(CCc1ccccc1)C(C)(C)C(=O)OC(=O)C(C)(C)C(CCc1ccccc1)NC(=O)CCC";"IC50";"'='";"1800.0";"nM";"5.75";"";"";"UO_0000065";"10.17";"0.19";"-0.20";"5.66";"0";"CHEMBL762426";"Inhibitory activity against porcine pancreatic trypsin (TRP)";"B";"BAO_0000357";"single protein format";"Bos taurus";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Trypsin I";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1132518";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1999";"None";"";"";""
"CHEMBL335497";"";"None";"241.33";"0";"2.18";"20";"CC(C)C[C@H](NC(=O)C1CCCCC1)C(=O)O";"Inhibition";"'='";"39.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL817132";"The compound was tested for inhibitory activity against trypsin at 10 mg/mL";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Trypsin I";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1128326";"1";"Scientific Literature";"J Med Chem";"1995";"None";"";"";""
"CHEMBL7651";"";"None";"546.57";"2";"0.87";"5 (+/-)";"N=C(N)c1cccc(C2=NOC(Cn3cnnn3)(C(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cn3)C2)c1";"Ki";"'='";"31.0";"nM";"7.51";"";"";"UO_0000065";"13.74";"0.26";"6.64";"3.46";"0";"CHEMBL878974";"Inhibitory activity against trypsin using human purified enzyme";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Trypsin I";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145764";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";"";""
"CHEMBL19902";"DX-9065A";"None";"444.54";"0";"3.99";"43 (DX-9065A)";"CC(=N)N1CC[C@H](Oc2ccc([C@H](Cc3ccc4ccc(C(=N)N)cc4c3)C(=O)O)cc2)C1";"Ki";"'='";"620.0";"nM";"6.21";"";"";"UO_0000065";"13.96";"0.26";"2.22";"5.03";"0";"CHEMBL817134";"Binding affinity against Trypsin";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Trypsin I";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1133572";"1";"Scientific Literature";"J Med Chem";"2000";"None";"";"";""
"CHEMBL359695";"";"None";"502.43";"1";"4.24";"40";"Nc1noc2ccc(-n3nc(C(F)(F)F)cc3C(=O)Nc3ccc(C(=O)N4CCCC4)cc3F)cc12";"Ki";"'>'";"5200.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL826336";"Binding affinity determined against human trypsin";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Trypsin I";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145195";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";""
"CHEMBL11157";"L-374087";"None";"455.54";"0";"1.70";"1c";"Cc1nc(N)ccc1CNC(=O)Cn1c(C)ccc(NS(=O)(=O)Cc2ccccc2)c1=O";"Ki";"'='";"3200.0";"nM";"5.50";"";"";"UO_0000065";"12.06";"0.23";"3.79";"4.03";"1";"CHEMBL818017";"Inhibitory constant evaluated against trypsin";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Trypsin I";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136286";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";"";""
"CHEMBL117365";"";"None";"425.51";"0";"2.42";"22";"Cc1ccc(NS(=O)(=O)Cc2ccccc2)c(=O)n1CC(=O)NCc1ccccc1";"Selectivity ratio";"'='";"3585.0";"";"";"";"";"";"";"";"";"";"0";"CHEMBL844562";"Ratio of inhibitory constant evaluated against trypsin to that of thrombin (Factor IIa)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Trypsin I";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136286";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";"";""
"CHEMBL38491";"";"None";"495.61";"0";"3.69";"6i";"CC1CCN(C(=O)N(Cc2cccc(C(=N)NO)c2)NS(=O)(=O)c2ccc3ccccc3c2)CC1";"Ki";"'>'";"68000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL815009";"In vitro inhibition of trypsin";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Trypsin I";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137966";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";""
"CHEMBL433369";"";"None";"649.60";"1";"2.35";"23";"COC(=O)CC1(C(=O)Nc2ccc(-c3cccc(S(N)(=O)=O)c3)cc2)CC(c2cccc(C(=N)N)c2)=NO1.O=C(O)C(F)(F)F";"Ki";"'='";"340.0";"nM";"6.47";"";"";"UO_0000065";"12.08";"0.23";"4.12";"3.46";"0";"CHEMBL824708";"The binding affinity was measured towards human purified trypsin";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Trypsin I";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1132311";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";""
"CHEMBL166530";"";"None";"415.50";"0";"3.00";"6";"Cc1cnc(NCCc2ccccc2)c(=O)n1CC(=O)NCc1ccc2cc[nH]c2c1";"Ki";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL817814";"Inhibition of Trypsin";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Trypsin I";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136608";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";"";""
"CHEMBL110898";"";"None";"538.65";"1";"2.13";"5g";"CC(C)(C)OC(=O)N[C@@H](C(=O)N1CCC[C@H]1C(=O)NC(C=O)CCCN=C(N)N)c1cccc2ccccc12";"IC50";"'='";"14.0";"nM";"7.85";"";"";"UO_0000065";"14.58";"0.28";"5.72";"4.64";"0";"CHEMBL816975";"Inhibitory activity against trypsin";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Trypsin I";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1126581";"1";"Scientific Literature";"J Med Chem";"1993";"None";"";"";""
"CHEMBL268329";"";"None";"655.16";"1";"3.25";"19 (+/-)";"Nc1cc(C2=NOC(CNS(=O)(=O)Cc3ccccc3)(C(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cn3)C2)ccc1Cl";"Ki";"'>'";"4200.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL878974";"Inhibitory activity against trypsin using human purified enzyme";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Trypsin I";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145764";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";"";""
"CHEMBL269065";"";"None";"641.13";"1";"3.11";"16 (+/-)";"Nc1cc(C2=NOC(CNS(=O)(=O)c3ccccc3)(C(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cn3)C2)ccc1Cl";"Ki";"'>'";"8000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL878974";"Inhibitory activity against trypsin using human purified enzyme";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Trypsin I";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145764";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";"";""
"CHEMBL11157";"L-374087";"None";"455.54";"0";"1.70";"5";"Cc1nc(N)ccc1CNC(=O)Cn1c(C)ccc(NS(=O)(=O)Cc2ccccc2)c1=O";"Ki";"'='";"3200.0";"nM";"5.50";"";"";"UO_0000065";"12.06";"0.23";"3.79";"4.03";"0";"CHEMBL816554";"Binding affinity towards trypsin was evaluated";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Trypsin I";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1130777";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1998";"None";"";"";""
"CHEMBL320098";"";"None";"387.48";"0";"0.52";"5v";"C[C@@H](C(=O)N1CCC[C@H]1C(=O)NC(C=O)CCCN=C(N)N)c1ccccc1";"IC50";"'='";"890.0";"nM";"6.05";"";"";"UO_0000065";"15.62";"0.30";"5.53";"4.62";"0";"CHEMBL816975";"Inhibitory activity against trypsin";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Trypsin I";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1126581";"1";"Scientific Literature";"J Med Chem";"1993";"None";"";"";""
"CHEMBL1161381";"";"None";"204.22";"0";"1.72";"4";"CC(O)Cc1ccc2ccc(=O)oc2c1";"Inhibition";"'='";"41.1";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL815270";"Compound was evaluated for in vitro inhibition of trypsin induced proteolysis at 0.1 mM concentration";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Trypsin I";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1147420";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";""
"CHEMBL1161381";"";"None";"204.22";"0";"1.72";"4";"CC(O)Cc1ccc2ccc(=O)oc2c1";"Inhibition";"'='";"95.4";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL815272";"Compound was evaluated for in vitro inhibition of trypsin induced proteolysis at 1 mM concentration";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Trypsin I";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1147420";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";""
"CHEMBL287614";"";"None";"474.59";"0";"0.82";"1a";"Cc1ccc(NS(=O)(=O)Cc2ccccc2)c(=O)n1CC(=O)NCC1CCN(C(=N)N)CC1";"Ki";"'='";"570.0";"nM";"6.24";"";"";"UO_0000065";"13.16";"0.26";"5.42";"4.15";"1";"CHEMBL818017";"Inhibitory constant evaluated against trypsin";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Trypsin I";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136286";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";"";""
"CHEMBL1159957";"";"None";"369.21";"0";"3.68";"Lactone 20";"C=C1CC(c2ccc(NC(=N)N)cc2)C/C(=C\I)O1";"ka/Ki";"'='";"0.13";"uM-1 min-1";"";"";"";"";"";"";"";"";"0";"CHEMBL821438";"Specificity constant on trypsin was determined at 0 percent and at 99 minutes for maximum inhibition and no enzyme activity was recovered over the 2 h-time";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Trypsin I";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1126229";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1992";"None";"";"";""
"CHEMBL1204158";"";"None";"334.81";"0";"1.71";"4";"Cl.N=C(N)c1ccc(OCCOc2ccc(C(=N)N)cc2)cc1";"Ki";"'='";"7300.0";"nM";"5.14";"";"";"UO_0000065";"17.22";"0.32";"3.43";"4.35";"0";"CHEMBL815012";"Inhibition of trypsin by amidase assay.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Trypsin I";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1124749";"1";"Scientific Literature";"J Med Chem";"1990";"None";"";"";""
"CHEMBL323963";"";"None";"387.48";"0";"0.52";"5q";"C[C@H](C(=O)N1CCC[C@H]1C(=O)NC(C=O)CCCN=C(N)N)c1ccccc1";"IC50";"'='";"180.0";"nM";"6.75";"";"";"UO_0000065";"17.41";"0.33";"6.22";"5.15";"0";"CHEMBL816975";"Inhibitory activity against trypsin";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Trypsin I";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1126581";"1";"Scientific Literature";"J Med Chem";"1993";"None";"";"";""
"CHEMBL318998";"";"None";"488.59";"0";"0.98";"5b";"CC(C)(C)OC(=O)N[C@@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](C=O)CCCN=C(N)N)c1ccccc1";"IC50";"'='";"9.8";"nM";"8.01";"";"";"UO_0000065";"16.39";"0.31";"7.03";"4.73";"0";"CHEMBL816975";"Inhibitory activity against trypsin";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Trypsin I";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1126581";"1";"Scientific Literature";"J Med Chem";"1993";"None";"";"";""
"CHEMBL157127";"";"None";"203.20";"0";"1.77";"3b";"CO/N=C/c1ccc2ccc(=O)oc2c1";"Inhibition";"'='";"100.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL815270";"Compound was evaluated for in vitro inhibition of trypsin induced proteolysis at 0.1 mM concentration";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Trypsin I";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1147420";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";""
"CHEMBL157127";"";"None";"203.20";"0";"1.77";"3b";"CO/N=C/c1ccc2ccc(=O)oc2c1";"Inhibition";"'='";"100.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL815272";"Compound was evaluated for in vitro inhibition of trypsin induced proteolysis at 1 mM concentration";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Trypsin I";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1147420";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";""
"CHEMBL36960";"";"None";"481.58";"0";"3.24";"6a";"N/C(=N\O)c1ccc(CN(NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N2CCCCC2)cc1";"Ki";"'>'";"68000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL815009";"In vitro inhibition of trypsin";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Trypsin I";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137966";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";""
"CHEMBL157566";"";"None";"264.28";"0";"3.24";"3c";"O=c1ccc2ccc(/C=N/Nc3ccccc3)cc2o1";"Inhibition";"";"";"%";"";"";"No action";"UO_0000187";"";"";"";"";"0";"CHEMBL815271";"Compound was evaluated for in vitro inhibition of trypsin induced proteolysis at 0.1 mM concentration; no action";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Trypsin I";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1147420";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";""
"CHEMBL157566";"";"None";"264.28";"0";"3.24";"3c";"O=c1ccc2ccc(/C=N/Nc3ccccc3)cc2o1";"Inhibition";"'='";"99.9";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL815269";"Compound was evaluated for in vitro inhibition of trypsin acting as esterase at 1 mM concentration";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Trypsin I";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1147420";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";""
"CHEMBL1204153";"";"None";"376.90";"1";"1.33";"38";"Cl.N=C(N)c1ccc(NCCCNc2ccc(C(=N)N)cc2N)c(N)c1";"Ki";"'='";"10300.0";"nM";"4.99";"";"";"UO_0000065";"14.65";"0.27";"3.66";"2.84";"0";"CHEMBL815012";"Inhibition of trypsin by amidase assay.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Trypsin I";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1124749";"1";"Scientific Literature";"J Med Chem";"1990";"None";"";"";""
"CHEMBL273483";"";"None";"121.18";"0";"1.45";"2 (table 3)";"Cc1ccc(CN)cc1";"Ki";"'='";"666806769.21";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL821444";"The compound was tested for inhibition of the proteolytic enzyme trypsin.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL209";"Trypsin I";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1132536";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";""
